step,fl_shoulder_joint_rad,fr_shoulder_joint_rad,bl_shoulder_joint_rad,br_shoulder_joint_rad,fl_thigh_joint_rad,fr_thigh_joint_rad,bl_thigh_joint_rad,br_thigh_joint_rad,fl_calf_joint_rad,fr_calf_joint_rad,bl_calf_joint_rad,br_calf_joint_rad,fl_shoulder_joint_deg,fr_shoulder_joint_deg,bl_shoulder_joint_deg,br_shoulder_joint_deg,fl_thigh_joint_deg,fr_thigh_joint_deg,bl_thigh_joint_deg,br_thigh_joint_deg,fl_calf_joint_deg,fr_calf_joint_deg,bl_calf_joint_deg,br_calf_joint_deg,fl_shoulder_joint_servo,fr_shoulder_joint_servo,bl_shoulder_joint_servo,br_shoulder_joint_servo,fl_thigh_joint_servo,fr_thigh_joint_servo,bl_thigh_joint_servo,br_thigh_joint_servo,fl_calf_joint_servo,fr_calf_joint_servo,bl_calf_joint_servo,br_calf_joint_servo
59,-0.089826,-0.300000,0.300000,-0.300000,-0.564094,-0.709961,-0.426206,-0.485329,1.109369,0.945410,-0.150000,1.570796,-5.147,-17.189,17.189,-17.189,-32.320,-40.678,-24.420,-27.807,63.562,54.168,-8.594,90.000,1988.4,1851.4,2242.6,2242.6,2414.7,2509.8,1769.2,1730.6,2770.2,1430.7,2144.8,1023.0
60,-0.111482,-0.300000,0.300000,-0.300000,-0.307968,-0.293488,-0.132954,-0.221333,0.543926,1.091792,-0.150000,1.570796,-6.387,-17.189,17.189,-17.189,-17.645,-16.816,-7.618,-12.681,31.165,62.555,-8.594,90.000,1974.3,1851.4,2242.6,2242.6,2247.8,2238.3,1960.3,1902.7,2401.6,1335.3,2144.8,1023.0
61,0.289390,-0.300000,-0.299458,0.039558,0.558758,-1.028229,-0.264667,0.318640,0.427446,1.265923,-0.150000,1.570796,16.581,-17.189,-17.158,2.266,32.014,-58.913,-15.164,18.257,24.491,72.532,-8.594,90.000,2235.7,1851.4,1851.8,2021.2,1682.7,2717.3,1874.5,2254.7,2325.7,1221.7,2144.8,1023.0
62,-0.224609,-0.163917,-0.300000,-0.300000,-0.131784,-0.706778,-0.431244,0.600000,1.422684,-0.150000,1.077708,-0.150000,-12.869,-9.392,-17.189,-17.189,-7.551,-40.495,-24.708,34.377,81.514,-8.594,61.748,-8.594,1900.6,1940.1,1851.4,2242.6,2132.9,2507.7,1765.9,2438.1,2974.4,2144.8,1344.4,2144.8
63,0.137837,0.211023,-0.300000,0.300000,0.095238,-0.931211,0.225730,0.047362,0.896626,-0.150000,0.809358,-0.150000,7.897,12.091,-17.189,17.189,5.457,-53.354,12.933,2.714,51.373,-8.594,46.373,-8.594,2136.9,2184.6,1851.4,1851.4,1984.9,2654.1,2194.2,2077.9,2631.5,2144.8,1519.4,2144.8
64,0.179040,0.217522,-0.300000,0.300000,0.110334,-0.634728,0.484448,0.268156,0.484883,-0.150000,0.720498,-0.150000,10.258,12.463,-17.189,17.189,6.322,-36.367,27.757,15.364,27.782,-8.594,41.281,-8.594,2163.7,2188.8,1851.4,1851.4,1975.1,2460.8,2362.8,2221.8,2363.1,2144.8,1577.3,2144.8
65,0.154680,0.139822,-0.300000,0.300000,0.411828,-0.679721,0.555571,0.573422,0.761456,-0.150000,0.542315,-0.127752,8.862,8.011,-17.189,17.189,23.596,-38.945,31.832,32.855,43.628,-8.594,31.072,-7.320,2147.8,2138.1,1851.4,1851.4,1778.5,2490.1,2409.2,2420.8,2543.4,2144.8,1693.5,2130.3
66,0.086606,0.115740,-0.300000,0.300000,0.361013,-0.766057,0.390537,0.600000,0.685441,-0.075034,0.456955,-0.150000,4.962,6.631,-17.189,17.189,20.685,-43.892,22.376,34.377,39.273,-4.299,26.182,-8.594,2103.5,2122.5,1851.4,1851.4,1811.7,2546.4,2301.6,2438.1,2493.8,2095.9,1749.1,2144.8
67,0.014313,-0.016034,-0.300000,0.300000,0.600000,-0.971100,0.600000,0.600000,0.765782,0.143991,0.545515,-0.150000,0.820,-0.919,-17.189,17.189,34.377,-55.640,34.377,34.377,43.876,8.250,31.256,-8.594,2056.3,2036.5,1851.4,1851.4,1655.9,2680.1,2438.1,2438.1,2546.2,1953.1,1691.4,2144.8
68,-0.300000,-0.300000,-0.300000,0.166456,0.600000,-1.200000,0.600000,0.600000,1.570796,0.982426,0.012867,0.124637,-17.189,-17.189,-17.189,9.537,34.377,-68.755,34.377,34.377,90.000,56.289,0.737,7.141,1851.4,1851.4,1851.4,1938.5,1655.9,2829.3,2438.1,2438.1,3071.0,1406.6,2038.6,1965.7
69,0.149589,-0.300000,0.300000,-0.300000,0.095884,-1.200000,-0.513033,-0.723358,1.484763,0.769971,-0.150000,1.570796,8.571,-17.189,17.189,-17.189,5.494,-68.755,-29.395,-41.445,85.071,44.116,-8.594,90.000,2144.5,1851.4,2242.6,2242.6,1984.5,2829.3,1712.6,1575.4,3014.9,1545.1,2144.8,1023.0
70,-0.078309,-0.300000,0.223824,0.087186,-0.763663,-1.087991,-1.200000,-0.356082,1.007329,0.513000,-0.150000,1.570796,-4.487,-17.189,12.824,4.995,-43.755,-62.337,-68.755,-20.402,57.716,29.393,-8.594,90.000,1996.0,1851.4,2192.9,1990.2,2544.8,2756.3,1264.7,1814.9,2703.7,1712.6,2144.8,1023.0
71,-0.300000,-0.300000,0.300000,0.077505,-0.345549,-0.821585,-0.752612,-0.663934,1.131920,0.824354,-0.150000,1.570796,-17.189,-17.189,17.189,4.441,-19.799,-47.073,-43.121,-38.041,64.854,47.232,-8.594,90.000,1851.4,1851.4,2242.6,1996.5,2272.3,2582.6,1556.4,1614.2,2784.9,1509.6,2144.8,1023.0
72,-0.300000,-0.300000,0.300000,-0.131331,-0.710101,-0.219620,-0.586864,-0.271341,1.570796,0.945503,-0.150000,1.570796,-17.189,-17.189,17.189,-7.525,-40.686,-12.583,-33.625,-15.547,90.000,54.173,-8.594,90.000,1851.4,1851.4,2242.6,2132.6,2509.9,2190.2,1664.4,1870.1,3071.0,1430.6,2144.8,1023.0
73,-0.300000,-0.300000,0.268454,-0.300000,-0.546241,-0.002468,-0.403806,0.082299,1.410202,1.006818,-0.150000,1.570796,-17.189,-17.189,15.381,-17.189,-31.297,-0.141,-23.136,4.715,80.799,57.686,-8.594,90.000,1851.4,1851.4,2222.0,2242.6,2403.1,2048.6,1783.8,2100.7,2966.3,1390.7,2144.8,1023.0
74,-0.106426,-0.300000,0.300000,-0.300000,-0.666204,-0.571974,-0.291242,-0.157924,0.893696,1.304526,-0.150000,1.570796,-6.098,-17.189,17.189,-17.189,-38.171,-32.772,-16.687,-9.048,51.205,74.744,-8.594,90.000,1977.6,1851.4,2242.6,2242.6,2481.3,2419.9,1857.1,1944.0,2629.6,1196.6,2144.8,1023.0
75,-0.057869,-0.300000,0.217365,-0.232340,-0.222812,-0.445783,0.077246,0.129558,0.360593,1.570796,-0.150000,1.570796,-3.316,-17.189,12.454,-13.312,-12.766,-25.541,4.426,7.423,20.660,90.000,-8.594,90.000,2009.3,1851.4,2188.7,2198.5,2192.3,2337.6,2097.4,2131.5,2282.1,1023.0,2144.8,1023.0
76,0.125353,-0.300000,-0.300000,0.227262,0.344062,-0.539072,0.087414,0.600000,1.570796,0.949121,0.132501,0.871274,7.182,-17.189,-17.189,13.021,19.713,-30.887,5.008,34.377,90.000,54.381,7.592,49.920,2128.7,1851.4,1851.4,1898.8,1822.7,2398.4,2104.0,2438.1,3071.0,1428.3,1960.6,1479.0
77,0.232229,0.077026,-0.300000,0.058139,-0.231473,-0.450498,0.278166,0.133128,1.183311,-0.029137,1.065052,-0.150000,13.306,4.413,-17.189,3.331,-13.262,-25.812,15.938,7.628,67.799,-1.669,61.023,-8.594,2198.4,2097.2,1851.4,2009.1,2197.9,2340.7,2228.3,2133.8,2818.4,2066.0,1352.7,2144.8
78,0.206986,0.204008,-0.300000,0.300000,-0.074878,-0.687683,0.413756,-0.068143,0.732952,-0.150000,0.776677,-0.150000,11.859,11.689,-17.189,17.189,-4.290,-39.401,23.706,-3.904,41.995,-8.594,44.500,-8.594,2181.9,2180.0,1851.4,1851.4,2095.8,2495.3,2316.7,2002.6,2524.8,2144.8,1540.7,2144.8
79,0.229762,0.192857,-0.300000,0.300000,0.290015,-0.455756,0.136371,0.110325,0.732171,-0.052963,0.825790,-0.150000,13.164,11.050,-17.189,17.189,16.617,-26.113,7.813,6.321,41.950,-3.035,47.314,-8.594,2196.8,2172.7,1851.4,1851.4,1857.9,2344.1,2135.9,2118.9,2524.3,2081.5,1508.7,2144.8
80,0.202192,0.184873,-0.300000,0.300000,0.108922,-0.426342,0.407332,0.074872,0.435402,-0.150000,0.648275,-0.091876,11.585,10.592,-17.189,17.189,6.241,-24.428,23.338,4.290,24.947,-8.594,37.143,-5.264,2178.8,2167.5,1851.4,1851.4,1976.0,2324.9,2312.5,2095.8,2330.8,2144.8,1624.4,2106.9
81,0.140186,0.071067,-0.300000,0.300000,0.551588,-0.811808,0.258036,0.600000,0.596586,-0.124895,0.534733,-0.134419,8.032,4.072,-17.189,17.189,31.604,-46.513,14.784,34.377,34.182,-7.156,30.638,-7.702,2138.4,2093.3,1851.4,1851.4,1687.4,2576.2,2215.2,2438.1,2435.9,2128.4,1698.4,2134.6
82,0.122886,0.038414,-0.300000,0.300000,0.478691,-0.826617,0.332066,0.600000,0.643234,-0.055083,0.422189,-0.150000,7.041,2.201,-17.189,17.189,27.427,-47.362,19.026,34.377,36.855,-3.156,24.190,-8.594,2127.1,2072.0,1851.4,1851.4,1734.9,2585.9,2263.5,2438.1,2466.3,2082.9,1771.8,2144.8
83,-0.055934,-0.076038,-0.300000,0.300000,0.600000,-0.983022,0.344352,0.600000,0.669573,0.040909,0.619040,-0.150000,-3.205,-4.357,-17.189,17.189,34.377,-56.323,19.730,34.377,38.364,2.344,35.468,-8.594,2010.5,1997.4,1851.4,1851.4,1655.9,2687.8,2271.5,2438.1,2483.5,2020.3,1643.4,2144.8
84,-0.300000,-0.300000,0.059436,-0.124317,0.600000,-0.968699,0.600000,0.600000,0.389438,1.449348,0.717782,0.264669,-17.189,-17.189,3.405,-7.123,34.377,-55.502,34.377,34.377,22.313,83.042,41.126,15.164,1851.4,1851.4,2085.7,2128.0,1655.9,2678.5,2438.1,2438.1,2300.9,1102.2,1579.1,1874.5
85,0.245780,-0.300000,0.300000,-0.110432,0.424771,-1.200000,0.152970,-0.632287,0.434910,1.570796,-0.150000,1.570796,14.082,-17.189,17.189,-6.327,24.338,-68.755,8.765,-36.227,24.919,90.000,-8.594,90.000,2207.2,1851.4,2242.6,2119.0,1770.1,2829.3,2146.7,1634.8,2330.5,1023.0,2144.8,1023.0
86,-0.291962,-0.300000,0.300000,-0.278850,0.115539,-1.200000,-0.974398,-0.537423,1.317483,0.692939,-0.150000,1.570796,-16.728,-17.189,17.189,-15.977,6.620,-68.755,-55.829,-30.792,75.486,39.702,-8.594,90.000,1856.7,1851.4,2242.6,2228.8,1971.7,2829.3,1411.8,1696.7,2905.9,1595.3,2144.8,1023.0
87,-0.300000,-0.300000,0.300000,0.006302,-0.385143,-0.464317,-0.601203,-0.639598,1.116478,1.070742,-0.150000,1.570796,-17.189,-17.189,17.189,0.361,-22.067,-26.603,-34.446,-36.646,63.969,61.349,-8.594,90.000,1851.4,1851.4,2242.6,2042.9,2298.1,2349.7,1655.1,1630.0,2774.8,1349.0,2144.8,1023.0
88,-0.300000,-0.300000,0.300000,-0.276422,-0.443235,-0.096260,-0.393938,-0.146198,1.222727,1.155360,-0.150000,1.570796,-17.189,-17.189,17.189,-15.838,-25.396,-5.515,-22.571,-8.377,70.057,66.197,-8.594,90.000,1851.4,1851.4,2242.6,2227.2,2335.9,2109.8,1790.2,1951.7,2844.1,1293.8,2144.8,1023.0
89,-0.102100,-0.300000,0.300000,-0.298386,-0.617353,-0.466972,-0.271994,-0.212314,0.942979,1.360694,-0.150000,1.570796,-5.850,-17.189,17.189,-17.096,-35.372,-26.756,-15.584,-12.165,54.029,77.962,-8.594,90.000,1980.4,1851.4,2242.6,2241.5,2449.5,2351.4,1869.7,1908.6,2661.7,1160.0,2144.8,1023.0
90,-0.048333,-0.300000,0.300000,-0.300000,-0.471326,-0.458690,-0.159876,-0.137436,0.482406,1.406335,-0.150000,1.570796,-2.769,-17.189,17.189,-17.189,-27.005,-26.281,-9.160,-7.875,27.640,80.577,-8.594,90.000,2015.5,1851.4,2242.6,2242.6,2354.3,2346.0,1942.8,1957.4,2361.5,1130.2,2144.8,1023.0
91,0.248262,-0.300000,0.055053,-0.177213,0.116210,-0.728893,0.203070,0.257458,0.240687,1.570796,-0.150000,1.570796,14.224,-17.189,3.154,-10.154,6.658,-41.762,11.635,14.751,13.790,90.000,-8.594,90.000,2208.8,1851.4,2082.9,2162.5,1971.2,2522.2,2179.4,2214.8,2203.9,1023.0,2144.8,1023.0
92,0.155520,-0.246450,-0.300000,0.010900,-0.108327,-0.613780,-0.026737,0.600000,1.330921,-0.150000,0.872131,-0.150000,8.911,-14.121,-17.189,0.625,-6.207,-35.167,-1.532,34.377,76.256,-8.594,49.969,-8.594,2148.4,1886.3,1851.4,2039.9,2117.6,2447.1,2029.6,2438.1,2914.6,2144.8,1478.5,2144.8
93,0.300000,0.215163,-0.300000,0.300000,0.133649,-0.658617,0.106600,-0.394878,0.403898,0.041319,0.989036,-0.150000,17.189,12.328,-17.189,17.189,7.658,-37.736,6.108,-22.625,23.142,2.367,56.668,-8.594,2242.6,2187.3,1851.4,1851.4,1959.9,2476.4,2116.5,1789.6,2310.3,2020.1,1402.2,2144.8
94,0.141844,0.222492,-0.300000,0.300000,-0.016560,-0.442124,0.408823,0.037648,0.871346,-0.150000,0.862082,-0.150000,8.127,12.748,-17.189,17.189,-0.949,-25.332,23.424,2.157,49.924,-8.594,49.394,-8.594,2139.5,2192.0,1851.4,1851.4,2057.8,2335.2,2313.5,2071.5,2615.0,2144.8,1485.0,2144.8
95,0.145934,0.232359,-0.300000,0.300000,0.072296,-0.417862,0.297599,0.317828,0.818818,-0.150000,0.671543,-0.150000,8.361,13.313,-17.189,17.189,4.142,-23.942,17.051,18.210,46.915,-8.594,38.477,-8.594,2142.1,2198.5,1851.4,1851.4,1999.9,2319.4,2241.0,2254.2,2580.8,2144.8,1609.2,2144.8
96,0.151237,0.171229,-0.300000,0.300000,0.183532,-0.541107,0.500623,0.598361,0.759577,-0.150000,0.604553,-0.150000,8.665,9.811,-17.189,17.189,10.516,-31.003,28.684,34.284,43.521,-8.594,34.638,-8.594,2145.6,2158.6,1851.4,1851.4,1927.4,2399.7,2373.4,2437.1,2542.2,2144.8,1652.9,2144.8
97,0.096720,0.078542,-0.300000,0.300000,0.551699,-0.737383,0.458778,0.600000,0.882869,-0.108079,0.587122,-0.150000,5.542,4.500,-17.189,17.189,31.610,-42.249,26.286,34.377,50.585,-6.192,33.640,-8.594,2110.1,2098.2,1851.4,1851.4,1687.3,2527.7,2346.1,2438.1,2622.5,2117.5,1664.3,2144.8
98,-0.144677,-0.300000,-0.300000,0.300000,-0.330017,-1.200000,-0.018790,0.600000,-0.150000,-0.150000,-0.150000,-0.150000,-8.289,-17.189,-17.189,17.189,-18.909,-68.755,-1.077,34.377,-8.594,-8.594,-8.594,-8.594,1952.7,1851.4,1851.4,1851.4,2262.1,2829.3,2034.8,2438.1,1949.2,2144.8,2144.8,2144.8
99,0.191193,-0.300000,0.300000,-0.273429,0.229246,-1.200000,-0.622156,-0.622279,1.530630,0.847513,-0.150000,1.570796,10.955,-17.189,17.189,-15.666,13.135,-68.755,-35.647,-35.654,87.699,48.559,-8.594,90.000,2171.6,1851.4,2242.6,2225.2,1897.6,2829.3,1641.4,1641.3,3044.8,1494.5,2144.8,1023.0
100,0.132273,-0.300000,0.300000,0.025726,-0.813438,-1.200000,-1.200000,-0.389914,1.219786,0.659261,-0.150000,1.570796,7.579,-17.189,17.189,1.474,-46.607,-68.755,-68.755,-22.340,69.889,37.773,-8.594,90.000,2133.2,1851.4,2242.6,2030.2,2577.3,2829.3,1264.7,1792.8,2842.2,1617.2,2144.8,1023.0
101,-0.300000,-0.300000,0.300000,0.025718,-0.501816,-0.778560,-0.949994,-0.638952,1.284485,0.971869,-0.150000,1.570796,-17.189,-17.189,17.189,1.474,-28.752,-44.608,-54.431,-36.609,73.596,55.684,-8.594,90.000,1851.4,1851.4,2242.6,2030.2,2374.1,2554.5,1427.7,1630.5,2884.4,1413.4,2144.8,1023.0
102,-0.300000,-0.300000,0.300000,-0.104186,-0.589716,-0.223470,-0.557639,-0.263143,1.570796,1.132045,-0.150000,1.570796,-17.189,-17.189,17.189,-5.969,-33.788,-12.804,-31.950,-15.077,90.000,64.861,-8.594,90.000,1851.4,1851.4,2242.6,2114.9,2431.4,2192.7,1683.5,1875.5,3071.0,1309.0,2144.8,1023.0
103,-0.300000,-0.300000,0.300000,-0.291124,-0.442627,-0.180740,-0.258698,0.037906,1.182621,1.200895,-0.150000,1.570796,-17.189,-17.189,17.189,-16.680,-25.361,-10.356,-14.822,2.172,67.759,68.806,-8.594,90.000,1851.4,1851.4,2242.6,2236.8,2335.5,2164.8,1878.4,2071.7,2817.9,1264.1,2144.8,1023.0
104,0.042357,-0.300000,0.300000,-0.300000,-0.611264,-0.816319,-0.339277,-0.260272,0.769173,1.366553,-0.150000,1.570796,2.427,-17.189,17.189,-17.189,-35.023,-46.772,-19.439,-14.912,44.070,78.298,-8.594,90.000,2074.6,1851.4,2242.6,2242.6,2445.5,2579.2,1825.8,1877.3,2548.4,1156.1,2144.8,1023.0
105,0.081155,-0.300000,-0.065426,-0.048027,0.139283,-0.733853,0.014901,0.292332,-0.031922,1.570796,-0.150000,1.570796,4.650,-17.189,-3.749,-2.752,7.980,-42.047,0.854,16.749,-1.829,90.000,-8.594,90.000,2099.9,1851.4,2004.3,2078.3,1956.2,2525.4,2056.7,2237.6,2026.2,1023.0,2144.8,1023.0
106,0.119026,-0.300000,-0.300000,-0.047400,-0.063786,-0.606402,-0.055659,0.600000,1.254895,-0.150000,1.078981,-0.150000,6.820,-17.189,-17.189,-2.716,-3.655,-34.744,-3.189,34.377,71.900,-8.594,61.821,-8.594,2124.6,1851.4,1851.4,2077.9,2088.6,2442.3,2010.7,2438.1,2865.1,2144.8,1343.6,2144.8
107,0.269962,0.224892,-0.300000,0.300000,0.007995,-0.609757,0.067843,-0.446854,0.497275,-0.053547,0.819638,-0.150000,15.468,12.885,-17.189,17.189,0.458,-34.937,3.887,-25.603,28.492,-3.068,46.962,-8.594,2223.0,2193.6,1851.4,1851.4,2041.8,2444.5,2091.2,1755.7,2371.2,2081.9,1512.7,2144.8
108,0.187464,0.156615,-0.300000,0.300000,0.107550,-0.584794,0.336755,0.033775,0.693060,-0.150000,0.843249,-0.150000,10.741,8.973,-17.189,17.189,6.162,-33.506,19.295,1.935,39.709,-8.594,48.315,-8.594,2169.2,2149.1,1851.4,1851.4,1976.9,2428.2,2266.5,2069.0,2498.8,2144.8,1497.3,2144.8
109,0.153472,0.097328,-0.300000,0.300000,0.329203,-0.701665,0.415701,0.417397,0.483898,-0.150000,0.736213,-0.086434,8.793,5.576,-17.189,17.189,18.862,-40.202,23.818,23.915,27.725,-8.594,42.182,-4.952,2147.0,2110.4,1851.4,1851.4,1832.4,2504.4,2318.0,2319.1,2362.5,2144.8,1567.1,2103.3
110,0.143949,0.082617,-0.300000,0.300000,0.356246,-0.711041,0.409500,0.600000,0.596189,-0.141714,0.552257,-0.150000,8.248,4.734,-17.189,17.189,20.411,-40.740,23.463,34.377,34.159,-8.120,31.642,-8.594,2140.8,2100.9,1851.4,1851.4,1814.8,2510.5,2314.0,2438.1,2435.7,2139.4,1687.0,2144.8
111,0.147105,0.005852,-0.300000,0.300000,0.365136,-0.811645,0.494923,0.600000,0.724055,0.034834,0.436919,-0.150000,8.428,0.335,-17.189,17.189,20.921,-46.504,28.357,34.377,41.485,1.996,25.034,-8.594,2142.9,2050.8,1851.4,1851.4,1809.0,2576.1,2369.6,2438.1,2519.0,2024.3,1762.2,2144.8
112,-0.040227,-0.106944,-0.300000,0.300000,0.600000,-1.137698,0.600000,0.600000,0.761655,0.277412,0.631132,-0.150000,-2.305,-6.127,-17.189,17.189,34.377,-65.185,34.377,34.377,43.640,15.895,36.161,-8.594,2020.8,1977.3,1851.4,1851.4,1655.9,2788.7,2438.1,2438.1,2543.5,1866.2,1635.6,2144.8
113,-0.300000,-0.300000,0.300000,0.047202,0.600000,-0.800123,0.589401,0.600000,1.424720,1.332624,-0.150000,1.272304,-17.189,-17.189,17.189,2.704,34.377,-45.844,33.770,34.377,81.630,76.354,-8.594,72.898,1851.4,1851.4,2242.6,2016.2,1655.9,2568.6,2431.2,2438.1,2975.8,1178.3,2144.8,1217.6
114,0.169919,-0.300000,0.300000,-0.300000,-0.270400,-1.200000,-0.391928,-1.200000,1.560130,1.384192,-0.150000,1.570796,9.736,-17.189,17.189,-17.189,-15.493,-68.755,-22.456,-68.755,89.389,79.308,-8.594,90.000,2157.8,1851.4,2242.6,2242.6,2223.3,2829.3,1791.5,1264.7,3064.0,1144.6,2144.8,1023.0
115,-0.300000,-0.296721,0.300000,0.021066,-0.002672,-0.917469,-0.773973,-0.390052,0.465264,1.166246,-0.150000,1.570796,-17.189,-17.001,17.189,1.207,-0.153,-52.567,-44.345,-22.348,26.658,66.821,-8.594,90.000,1851.4,1853.6,2242.6,2033.3,2048.7,2645.1,1542.4,1792.7,2350.3,1286.7,2144.8,1023.0
116,-0.300000,-0.300000,0.300000,-0.212799,-0.224131,0.115561,-0.185615,-0.290408,1.081982,1.329224,-0.150000,1.570796,-17.189,-17.189,17.189,-12.192,-12.842,6.621,-10.635,-16.639,61.993,76.159,-8.594,90.000,1851.4,1851.4,2242.6,2185.7,2193.1,1971.7,1926.0,1857.7,2752.3,1180.5,2144.8,1023.0
117,-0.033704,-0.300000,0.300000,-0.198814,-0.645229,-0.661921,-0.371781,-0.291764,1.032549,1.545988,-0.150000,1.570796,-1.931,-17.189,17.189,-11.391,-36.969,-37.925,-21.302,-16.717,59.161,88.579,-8.594,90.000,2025.0,1851.4,2242.6,2176.6,2467.6,2478.5,1804.6,1856.8,2720.1,1039.2,2144.8,1023.0
118,-0.074190,-0.300000,0.300000,-0.300000,-0.488318,-0.418430,-0.386699,-0.146727,0.595326,1.364578,-0.150000,1.570796,-4.251,-17.189,17.189,-17.189,-27.979,-23.974,-22.156,-8.407,34.110,78.185,-8.594,90.000,1998.6,1851.4,2242.6,2242.6,2365.3,2319.8,1794.9,1951.3,2435.1,1157.4,2144.8,1023.0
119,0.014837,-0.300000,0.125884,-0.188519,-0.044346,-0.941019,0.032789,0.284631,0.091163,1.570796,-0.150000,1.570796,0.850,-17.189,7.213,-10.801,-2.541,-53.916,1.879,16.308,5.223,90.000,-8.594,90.000,2056.7,1851.4,2129.1,2169.9,2075.9,2660.4,2068.4,2232.6,2106.4,1023.0,2144.8,1023.0
120,0.127668,-0.300000,-0.300000,0.300000,0.464771,-0.947844,-0.256993,0.600000,1.570796,0.335175,-0.007614,0.262424,7.315,-17.189,-17.189,17.189,26.629,-54.307,-14.725,34.377,90.000,19.204,-0.436,15.036,2130.2,1851.4,1851.4,1851.4,1744.0,2664.9,1879.5,2438.1,3071.0,1828.5,2052.0,1875.9
